id,action_level,source_name,published_at,collected_at,page_type,title,relevance_reason,deadline_text,url
150,requires_attention,Нормативные акты Краснодарского края,2026-05-13T00:00:00+00:00,2026-05-14T07:10:34.706437+00:00,new_rule,"Об утверждении Порядка предоставления субсидий на возмещение части затрат, понесенных заказчиками комплексных научно-технических проектов в агропромышленном комплексе при их реа...","Документ требует внимания GR, потому что содержит конкретный action-сигнал для АПК и интересов агрохолдинга: порядок предоставления. Тема: Господдержка и субсидии. Бизнес-сигнал: Региональный НПА по профильной теме: оставить в наблюдении..",,https://admkrai.krasnodar.ru/upload/iblock/111/t6dutx4lw35a5utpaq2e8j1kgvogdkeg.pdf
157,requires_attention,Нормативные акты Краснодарского края,2026-05-13T00:00:00+00:00,2026-05-14T07:11:23.346878+00:00,new_rule,"Об утверждении Порядка предоставления субсидий на реализацию проектов мелиорации» В соответствии со статьей 78 Бюджетного кодекса Российской Федерации, постановлениями Правитель...","Документ требует внимания GR, потому что содержит конкретный action-сигнал для АПК и интересов агрохолдинга: action markers detected. Тема: Господдержка и субсидии. Бизнес-сигнал: Региональный НПА по профильной теме: оставить в наблюдении..",,https://admkrai.krasnodar.ru/upload/iblock/d2d/or335aa8v3axt3qcujus7xh2qgwz3zwm.pdf
171,watchlist,ГИСП - меры поддержки АПК,,2026-05-14T07:12:20.056327+00:00,measure_card,"Возмещение части затрат на поддержку сельскохозяйственного производства, животноводства","Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Справочная мера поддержки без срочного действия.",,https://gisp.gov.ru/nmp/measure/12447974
170,watchlist,ГИСП - меры поддержки АПК,,2026-05-14T07:12:18.964132+00:00,measure_card,Гарантия ВЭБ.РФ,"Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Постоянная федеральная мера поддержки; срочное окно подачи не выявлено..",,https://gisp.gov.ru/nmp/measure/12446928
167,watchlist,ГИСП - меры поддержки АПК,,2026-05-14T07:12:16.322065+00:00,measure_card,Льготное кредитование АПК,"Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Активная федеральная мера поддержки, действует на регулярной основе.",,https://gisp.gov.ru/nmp/measure/9564204
166,watchlist,ГИСП - меры поддержки АПК,,2026-05-14T07:12:13.265793+00:00,measure_card,Господдержка. Транспортировка товаров АПК,"Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Активная федеральная мера поддержки, действует на регулярной основе.",,https://gisp.gov.ru/nmp/measure/9512857
5,watchlist,Минсельхоз России - меры господдержки,,2026-05-14T07:07:02.646167+00:00,measure_card,Льготный лизинг,"Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Справочная мера поддержки без срочного действия.",,https://mcx.gov.ru/docs/35013/
4,watchlist,Минсельхоз России - меры господдержки,,2026-05-14T07:07:02.629242+00:00,measure_card,Льготное кредитование по СПК,"Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Справочная мера поддержки без срочного действия.",,https://mcx.gov.ru/activity/state-support/measures/preferential-credit-spk/
188,watchlist,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:36.104474+00:00,news_background,"Новороссийский зерновой терминал отгрузил 5,47 млн т груза на экспорт в 2025 году","Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Новостной предвестник возможных изменений господдержки, экспорта или регулирования..",,https://www.zol.ru/n/41471
195,watchlist,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:40.103308+00:00,results_protocol,С воронежского мелькомбината не взыщут 150 млн рублей по иску о незаконном использовании товарного знака,"Страница распознана как справочная, категорийная или архивная, поэтому не может быть повышена выше watchlist даже при наличии слов про субсидии, отборы или постановления.",,https://www.zol.ru/n/41468
92,watchlist,Минсельхоз Краснодарского края - субсидирование и финансирование,2026-05-13T00:00:00+00:00,2026-05-14T07:08:26.086040+00:00,new_rule,"№ 184 от 13.05.2026 ""Об утверждении Порядка предоставления субсидий на возмещение части затрат, понесенных заказчиками комплексных научно-технических проектов в агропромышленном комплексе при их реализации""","Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: порядок предоставления. Бизнес-сигнал: Региональный приказ Минсельхоза Краснодарского края по субсидии, гранту или порядку поддержки; держать на наблюдении..",,https://npa.krasnodar.ru/rest/files/1233838
93,watchlist,Минсельхоз Краснодарского края - субсидирование и финансирование,2026-05-13T00:00:00+00:00,2026-05-14T07:08:33.064266+00:00,new_rule,"№ 183 от 13.05.2026 ""О внесении изменения в приказ министерства сельского хозяйства и перерабатывающей промышленности Краснодарского края от 19 марта 2018 г. № 70 «Об утверждении Порядка предоставления субсидий на реализацию проектов мелиорации»","Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Региональный приказ Минсельхоза Краснодарского края по субсидии, гранту или порядку поддержки; держать на наблюдении..",,https://npa.krasnodar.ru/rest/files/1233833
94,watchlist,Минсельхоз Краснодарского края - субсидирование и финансирование,2026-05-06T00:00:00+00:00,2026-05-14T07:08:37.291933+00:00,new_rule,"№175 от 06.05.2026 ""О внесении изменения в приказ министерства сельского хозяйства и перерабатывающей промышленности Краснодарского края от 13 декабря 2019 г. № 536 «Об утверждении Перечня сельских территорий»","Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Региональный приказ Минсельхоза Краснодарского края по субсидии, гранту или порядку поддержки; держать на наблюдении..",,https://npa.krasnodar.ru/rest/files/1233784
17,watchlist,Минсельхоз России - новости,2026-05-04T00:00:00+00:00,2026-05-14T07:07:03.355301+00:00,news_background,Минсельхоз и ФТС продолжат совместную работу по упрощению процедур для экспортеров АПК,"Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Официальная новость Минсельхоза с GR-сигналом по господдержке, регулированию, экспорту, логистике или цифровизации АПК..",,https://mcx.gov.ru/press-service/news/minselkhoz-i-fts-prodolzhat-sovmestnuyu-rabotu-po-uproshcheniyu-protsedur-dlya-eksporterov-apk/
20,watchlist,Минсельхоз России - новости,2026-05-01T00:00:00+00:00,2026-05-14T07:07:03.404404+00:00,news_background,Правительство расширило меры господдержки производителей молока,"Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Официальная новость Минсельхоза с GR-сигналом по господдержке, регулированию, экспорту, логистике или цифровизации АПК..",,https://mcx.gov.ru/press-service/news/pravitelstvo-rasshirilo-mery-gospodderzhki-proizvoditeley-moloka/
21,watchlist,Минсельхоз России - новости,2026-04-30T00:00:00+00:00,2026-05-14T07:07:03.421504+00:00,news_background,Оксана Лут ознакомилась с ходом посевной в Ставропольском крае,"Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Официальная новость Минсельхоза с GR-сигналом по господдержке, регулированию, экспорту, логистике или цифровизации АПК..",,https://mcx.gov.ru/press-service/news/oksana-lut-oznakomilas-s-khodom-posevnoy-v-stavropolskom-krae/
97,watchlist,Минсельхоз Краснодарского края - субсидирование и финансирование,2026-04-30T00:00:00+00:00,2026-05-14T07:08:55.521160+00:00,new_rule,"№167 от 30.04.2026 ""О внесении изменений в приказ министерства сельского хозяйства и перерабатывающей промышленности Краснодарского края от 01 апреля 2026 г. № 114 «Об утверждении Порядка предоставления субсидий сельскохозяйственным товаропроизводителям на финансовое обеспечение части затрат на стимулирование увеличения производства картофеля и овощей»","Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Региональный приказ Минсельхоза Краснодарского края по субсидии, гранту или порядку поддержки; держать на наблюдении..",,https://npa.krasnodar.ru/rest/files/1233707
24,watchlist,Минсельхоз России - новости,2026-04-29T00:00:00+00:00,2026-05-14T07:07:03.473533+00:00,news_background,Оксана Лут доложила о ходе весенних полевых работ на заседании Правительства,"Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Официальная новость Минсельхоза с GR-сигналом по господдержке, регулированию, экспорту, логистике или цифровизации АПК..",,https://mcx.gov.ru/press-service/news/oksana-lut-dolozhila-o-khode-vesennikh-polevykh-rabot-na-zasedanii-pravitelstva/
25,watchlist,Минсельхоз России - новости,2026-04-29T00:00:00+00:00,2026-05-14T07:07:03.492302+00:00,news_background,Совет Федерации одобрил ряд законопроектов в сфере АПК,"Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Официальная новость Минсельхоза с GR-сигналом по господдержке, регулированию, экспорту, логистике или цифровизации АПК..",,https://mcx.gov.ru/press-service/news/sovet-federatsii-odobril-ryad-zakonoproektov-v-sfere-apk/
99,watchlist,Минсельхоз Краснодарского края - субсидирование и финансирование,2026-04-29T00:00:00+00:00,2026-05-14T07:09:08.967179+00:00,new_rule,"№164 от 29.04.2026 ""Об образовании рабочей группы по отбору проектов развития сельского туризма для участия в конкурсе на предоставление гранта «Агротуризм»","Документ отнесен в watchlist: он связан с АПК или регионами присутствия, но без прямого сигнала к действию. Маркеры: общие отраслевые маркеры. Бизнес-сигнал: Региональный приказ Минсельхоза Краснодарского края по субсидии, гранту или порядку поддержки; держать на наблюдении..",,https://npa.krasnodar.ru/rest/files/1233677
